Z_real,Z_imag,Spectrum_Number,Frequency_Hz
1.033440e+01,-1.112038e+00,0.000000e+00,1.000000e+05
1.046585e+01,-1.454579e+00,0.000000e+00,7.196857e+04
1.065566e+01,-1.894210e+00,0.000000e+00,5.179475e+04
1.093219e+01,-2.450881e+00,0.000000e+00,3.727594e+04
1.133701e+01,-3.141444e+00,0.000000e+00,2.682696e+04
1.192799e+01,-3.971531e+00,0.000000e+00,1.930698e+04
1.277883e+01,-4.921676e+00,0.000000e+00,1.389495e+04
1.396808e+01,-5.928660e+00,0.000000e+00,1.000000e+04
1.555000e+01,-6.870741e+00,0.000000e+00,7.196857e+03
1.750801e+01,-7.576875e+00,0.000000e+00,5.179475e+03
1.971638e+01,-7.879453e+00,0.000000e+00,3.727594e+03
2.195529e+01,-7.695777e+00,0.000000e+00,2.682696e+03
2.399228e+01,-7.076841e+00,0.000000e+00,1.930698e+03
2.567376e+01,-6.176639e+00,0.000000e+00,1.389495e+03
2.695810e+01,-5.172102e+00,0.000000e+00,1.000000e+03
2.788656e+01,-4.199666e+00,0.000000e+00,7.196857e+02
2.853518e+01,-3.336328e+00,0.000000e+00,5.179475e+02
2.898048e+01,-2.610674e+00,0.000000e+00,3.727594e+02
2.928463e+01,-2.021810e+00,0.000000e+00,2.682696e+02
2.949303e+01,-1.554728e+00,0.000000e+00,1.930698e+02
2.963700e+01,-1.189747e+00,0.000000e+00,1.389495e+02
2.973755e+01,-9.073768e-01,0.000000e+00,1.000000e+02
2.980859e+01,-6.903832e-01,0.000000e+00,7.196857e+01
2.985936e+01,-5.243976e-01,0.000000e+00,5.179475e+01
2.989603e+01,-3.978371e-01,0.000000e+00,3.727594e+01
2.992276e+01,-3.015564e-01,0.000000e+00,2.682696e+01
2.994238e+01,-2.284298e-01,0.000000e+00,1.930698e+01
2.995689e+01,-1.729543e-01,0.000000e+00,1.389495e+01
2.996766e+01,-1.309054e-01,0.000000e+00,1.000000e+01
2.997570e+01,-9.905365e-02,0.000000e+00,7.196857e+00
2.998171e+01,-7.493742e-02,0.000000e+00,5.179475e+00
2.998622e+01,-5.668440e-02,0.000000e+00,3.727594e+00
2.998961e+01,-4.287269e-02,0.000000e+00,2.682696e+00
2.999216e+01,-3.242367e-02,0.000000e+00,1.930698e+00
2.999408e+01,-2.451978e-02,0.000000e+00,1.389495e+00
2.999553e+01,-1.854175e-02,0.000000e+00,1.000000e+00
2.999662e+01,-1.402069e-02,0.000000e+00,7.196857e-01
2.999745e+01,-1.060173e-02,0.000000e+00,5.179475e-01
2.999807e+01,-8.016319e-03,0.000000e+00,3.727594e-01
2.999854e+01,-6.061315e-03,0.000000e+00,2.682696e-01
2.999890e+01,-4.583041e-03,0.000000e+00,1.930698e-01
2.999917e+01,-3.465268e-03,0.000000e+00,1.389495e-01
2.999937e+01,-2.620095e-03,0.000000e+00,1.000000e-01
2.999952e+01,-1.981049e-03,0.000000e+00,7.196857e-02
2.999964e+01,-1.497861e-03,0.000000e+00,5.179475e-02
2.999973e+01,-1.132523e-03,0.000000e+00,3.727594e-02
2.999979e+01,-8.562906e-04,0.000000e+00,2.682696e-02
2.999984e+01,-6.474329e-04,0.000000e+00,1.930698e-02
2.999988e+01,-4.895171e-04,0.000000e+00,1.389495e-02
2.999991e+01,-3.701183e-04,0.000000e+00,1.000000e-02
1.031809e+01,-1.122453e+00,1.000000e+00,1.000000e+05
1.043815e+01,-1.473490e+00,1.000000e+00,7.196857e+04
1.060917e+01,-1.928760e+00,1.000000e+00,5.179475e+04
1.085556e+01,-2.514320e+00,1.000000e+00,3.727594e+04
1.121398e+01,-3.258156e+00,1.000000e+00,2.682696e+04
1.173841e+01,-4.185440e+00,1.000000e+00,1.930698e+04
1.250503e+01,-5.308541e+00,1.000000e+00,1.389495e+04
1.361312e+01,-6.609336e+00,1.000000e+00,1.000000e+04
1.517359e+01,-8.013938e+00,1.000000e+00,7.196857e+03
1.727408e+01,-9.369137e+00,1.000000e+00,5.179475e+03
1.991713e+01,-1.044568e+01,1.000000e+00,3.727594e+03
2.295939e+01,-1.099906e+01,1.000000e+00,2.682696e+03
2.611310e+01,-1.088080e+01,1.000000e+00,1.930698e+03
2.904477e+01,-1.012397e+01,1.000000e+00,1.389495e+03
